Niveau,Wort,Klarwort,Übersetzung,Detail,Example1,Example2,Example3,Example4,Example5,
A1,die Kasse,Kasse,"cash desk, checkout, ticket office, cash register, fund","cash desk, checkout, ticket office, cash register, fund🔢 Noun FormsSingular (Einzahl): die KassePlural (Mehrzahl): Kassen",Bitte zahlen Sie an der Kasse.Please pay at the cash desk.,An der Kasse ist eine lange Schlange.There is a long line at the checkout.,Die Kasse im Kino öffnet um zehn.The ticket office at the cinema opens at ten.,Die Kasse ist heute leer.The fund is empty today.,Ich habe den Bon an der Kasse bekommen.I got the receipt at the checkout.,German Noun (A1)
A1,die Kartoffel,Kartoffel,potato,potato🔢 Noun FormsSingular (Einzahl): die KartoffelPlural (Mehrzahl): Kartoffeln,Ich kaufe Kartoffeln für das Abendessen.I’m buying potatoes for dinner.,Die Kartoffel ist frisch und billig.The potato is fresh and cheap.,Wir kochen heute Kartoffel mit Gemüse.We are cooking potato with vegetables today.,Er isst gern Kartoffeln mit Salz.He likes to eat potatoes with salt.,,German Noun (A1)
A1,die Karte,Karte,"map, menu, card/ticket, playing card, postcard","map, menu, card/ticket, playing card, postcard🔢 Noun FormsSingular (Einzahl): die KartePlural (Mehrzahl): Karten",Die Karte zeigt die Stadt.The map shows the city.,"Die Karte bitte.The menu, please.",Ich habe keine Karte für das Konzert.I don't have a ticket for the concert.,Er zieht eine Karte.He draws a card.,Ich schreibe eine Karte an meine Oma.I am writing a postcard to my grandma.,German Noun (A1)
B1,die Karriere,Karriere,"career, professional path, career advancement","career, professional path, career advancement🔢 Noun FormsSingular (Einzahl): die KarrierePlural (Mehrzahl): Karrieren",Sie macht in der Firma schnell Karriere.She is advancing quickly in her company career.,Er plant eine Karriere im Marketing.He plans a career in marketing.,Ihre Karriere begann nach dem Studium.Her career began after her studies.,Für seine Karriere lernt er jeden Tag.He studies every day for his career.,,German Noun (B1)
A1,die Karotte,Karotte,carrot,carrot🔢 Noun FormsSingular (Einzahl): die KarottePlural (Mehrzahl): Karotten,Ich kaufe eine Karotte.I am buying a carrot.,Die Karotten sind frisch.The carrots are fresh.,Er isst gern Karotten.He likes to eat carrots.,,,German Noun (A1)
A2,der Karneval,Karneval,"carnival, carnival season‌ (in the Rhineland)","carnival, carnival season (in the Rhineland)🔢 Noun FormsSingular (Einzahl): der KarnevalPlural (Mehrzahl): die Karnevale",Der Karneval in Köln ist sehr bekannt.The carnival in Cologne is very famous.,Wir feiern Karneval mit Freunden.We celebrate carnival with friends.,Zum Karneval tragen viele Leute Kostüme.For carnival many people wear costumes.,Der Umzug gehört zum Karneval.The parade is part of the carnival.,,German Noun (A2)
A2,das Kapitel,Kapitel,"chapter, section‌ (of a book), chapter‌ (of life)","chapter, section (of a book), chapter (of life)🔢 Noun FormsSingular (Einzahl): das KapitelPlural (Mehrzahl): Kapitel",Das Kapitel ist kurz.The chapter is short.,Ich lese heute zwei Kapitel.I will read two chapters today.,Im nächsten Kapitel kommt die Lösung.The solution comes in the next chapter.,Dieses Kapitel meines Lebens ist vorbei.This chapter of my life is over.,,German Noun (A2)
A2,die Kantine,Kantine,"canteen, staff cafeteria, company cafeteria","canteen, staff cafeteria, company cafeteria🔢 Noun FormsSingular (Einzahl): die KantinePlural (Mehrzahl): Kantinen",Wir essen heute in der Kantine.We are eating in the canteen today.,Die Kantine macht um zwölf Uhr auf.The canteen opens at twelve o'clock.,In unserer Kantine gibt es jeden Tag ein vegetarisches Gericht.Our canteen offers a vegetarian dish every day.,Die Kantinen sind am Wochenende geschlossen.The canteens are closed on weekends.,,German Noun (A2)
A2,die Kanne,Kanne,"jug, kettle, pitcher, coffee pot, teapot","jug, kettle, pitcher, coffee pot, teapot🔢 Noun FormsSingular (Einzahl): die KannePlural (Mehrzahl): Kannen",Die Kanne steht auf dem Tisch.The jug is on the table.,Kannst du die Kanne mit Wasser füllen?Can you fill the jug with water?3. Wir bringen eine Kanne Kaffee mit.We will bring a pot of coffee.,"Die Kanne ist heiß, pass auf!The pot is hot, be careful!",,,German Noun (A2)
B1,der Kandidat,Kandidat,"candidate, contender, applicant","candidate, contender, applicant🔢 Noun FormsSingular (Einzahl): der KandidatPlural (Mehrzahl): Kandidaten",Der Kandidat stellt sich heute vor.The candidate introduces himself today.,Jeder Kandidat bekommt die gleichen Fragen.Each candidate gets the same questions.,Der Kandidat hat viel Erfahrung.The candidate has a lot of experience.,Wir wählen den besten Kandidat für den Job.We choose the best candidate for the job.,,German Noun (B1)
B1,der Kanal,Kanal,"channel‌ (waterway), channel‌ (media/communication), duct/sewer, distribution channel","channel (waterway), channel (media/communication), duct/sewer, distribution channel🔢 Noun FormsSingular (Einzahl): der KanalPlural (Mehrzahl): Kanäle",Das Schiff fährt durch den Kanal.The ship goes through the canal.,Welchen Kanal schaust du heute?Which channel are you watching today?3. Wir nutzen diesen Kanal für Feedback.We use this channel for feedback.,Der Kanal ist nach dem Regen verstopft.The channel is clogged after the rain.,Die Firma sucht neue Kanäle für den Verkauf.The company is looking for new sales channels.,,German Noun (B1)
B1,der Kampf,Kampf,"fight, battle, struggle, combat, contest","fight, battle, struggle, combat, contest🔢 Noun FormsSingular (Einzahl): der KampfPlural (Mehrzahl): Kämpfe",Der Kampf war hart.The fight was tough.,Sie führt einen Kampf gegen die Krankheit.She is fighting a battle against the illness.,Der Kampf um fairen Lohn geht weiter.The struggle for fair pay continues.,Nach dem Kampf reichten sie sich die Hand.After the fight they shook hands.,,German Noun (B1)
A1,die Kamera,Kamera,"camera, photo camera, video camera","camera, photo camera, video camera🔢 Noun FormsSingular (Einzahl): die KameraPlural (Mehrzahl): Kameras",Die Kamera ist neu.The camera is new.,Hast du eine Kamera dabei?Do you have a camera with you?3. Die Kamera filmt das Spiel.The camera is recording the game.,Meine Kamera hat kein gutes Licht.My camera doesn’t have good light.,,,German Noun (A1)
A1,der Kalender,Kalender,"calendar, planner, diary‌ (planner)","calendar, planner, diary (planner)🔢 Noun FormsSingular (Einzahl): der KalenderPlural (Mehrzahl): Kalender",Der Kalender hängt an der Wand.The calendar hangs on the wall.,Ich trage den Termin in den Kalender ein.I enter the appointment in the calendar.,Hast du den Kalender dabei?Do you have the calendar with you?4. Wir vergleichen unsere Kalender.We compare our calendars.,,,German Noun (A1)
A1,der Kakao,Kakao,"cocoa‌ (drink), cocoa powder, cocoa beans","cocoa (drink), cocoa powder, cocoa beans🔢 Noun FormsSingular (Einzahl): der KakaoPlural (Mehrzahl): Kakaos",Ich trinke gern Kakao.I like to drink cocoa.,Der Kakao ist heiß.The cocoa is hot.,Für den Kuchen brauche ich Kakao.I need cocoa powder for the cake.,Diese Bohnen sind für Kakao.These beans are for cocoa.,,German Noun (A1)
A2,das Kaffeehaus,Kaffeehaus,"coffee house, café (traditional), coffee shop‌ (traditional)","coffee house, café (traditional), coffee shop (traditional)🔢 Noun FormsSingular (Einzahl): das KaffeehausPlural (Mehrzahl): Kaffeehäuser",Wir treffen uns im Kaffeehaus.We are meeting in the coffee house.,Das Kaffeehaus ist heute voll.The coffee house is full today.,"In Wien hat das Kaffeehaus eine lange Tradition.In Vienna, the coffee house has a long tradition.",Neben dem Hotel gibt es ein kleines Kaffeehaus.There is a small coffee house next to the hotel.,,German Noun (A2)
A1,der Kaffee,Kaffee,"coffee, cup of coffee, coffee drink","coffee, cup of coffee, coffee drink🔢 Noun FormsSingular (Einzahl): der KaffeePlural (Mehrzahl): die Kaffees",Ich trinke Kaffee.I drink coffee.,Möchtest du einen Kaffee?Do you want a coffee?3. Der Kaffee ist heiß.The coffee is hot.,Wir bestellen zwei Kaffees.We will order two coffees.,,,German Noun (A1)
A2,die Kabine,Kabine,"cabin, compartment, booth, changing room","cabin, compartment, booth, changing room🔢 Noun FormsSingular (Einzahl): die KabinePlural (Mehrzahl): Kabinen",Die Kabine ist klein.The cabin is small.,Wir warten im Flugzeug in der Kabine.We are waiting in the plane in the cabin.,Er geht in die Kabine und zieht sich um.He goes into the changing room and gets changed.,Im Zug haben wir eine Kabine für zwei Personen.On the train we have a compartment for two people.,,German Noun (A2)
A2,das Kabel,Kabel,"cable, wire‌ (cable)","cable, wire (cable)🔢 Noun FormsSingular (Einzahl): das KabelPlural (Mehrzahl): Kabel",Das Kabel ist zu kurz.The cable is too short.,Ich suche das Kabel für das Ladegerät.I’m looking for the cable for the charger.,"Ohne Kabel funktioniert der Monitor nicht.Without a cable, the monitor doesn’t work.",Auf dem Tisch liegt ein schwarzes Kabel.There is a black cable on the table.,,German Noun (A2)
A1,der Junge,Junge,"boy, lad‌ (informal), young man","boy, lad (informal), young man🔢 Noun FormsSingular (Einzahl): der JungePlural (Mehrzahl): Jungen",Der Junge spielt im Park.The boy is playing in the park.,Ich kenne den Jungen aus der Schule.I know the boy from school.,Die Jungen warten vor der Tür.The boys are waiting at the door.,Er ist ein netter Junge.He is a nice boy.,,German Noun (A1)
A2,der Jugendliche,Jugendliche,"der Jugendliche (Noun): adolescent, teenager, young person, adolescent girl, female teenager, young woman‌ (minor)","der Jugendliche (Noun): adolescent, teenager, young person, adolescent girl, female teenager, young woman (minor)🔢 Noun FormsSingular (Einzahl): der JugendlichePlural (Mehrzahl): die Jugendlichen",Der Jugendliche wartet an der Bushaltestelle.The teenager is waiting at the bus stop.,Die Jugendliche liest ein Buch im Park.The female teenager is reading a book in the park.,Viele Jugendliche spielen heute Fußball.Many teenagers are playing soccer today.,Die Stadt bietet Kurse für Jugendliche an.The city offers courses for teenagers.,,German Noun (A2)
A2,die Jugendherberge,Jugendherberge,"youth hostel, youth guesthouse, hostel for young people","youth hostel, youth guesthouse, hostel for young people🔢 Noun FormsSingular (Einzahl): die JugendherbergePlural (Mehrzahl): Jugendherbergen",Wir übernachten in einer Jugendherberge.We are staying overnight in a youth hostel.,Die Jugendherberge liegt nahe dem Bahnhof.The youth hostel is near the train station.,Ist die Jugendherberge noch frei?Is the youth hostel still available?4. In der Jugendherberge gibt es ein einfaches Frühstück.There is a simple breakfast in the youth hostel.,,,German Noun (A2)
A2,die Jugend,Jugend,"youth, young people, adolescence","youth, young people, adolescence🔢 Noun FormsSingular (Einzahl): die JugendPlural (Mehrzahl): —",Die Jugend trifft sich im Park.The youth meet in the park.,Er erinnert sich gern an seine Jugend.He likes to remember his youth.,Die Stadt fördert die Jugend mit Projekten.The city supports the youth with projects.,In ihrer Jugend reiste sie viel.In her youth she traveled a lot.,,German Noun (A2)
A2,der Journalist,Journalist,"journalist, reporter, correspondent","journalist, reporter, correspondent🔢 Noun FormsSingular (Einzahl): der JournalistPlural (Mehrzahl): Journalisten",Der Journalist schreibt einen Artikel.The journalist is writing an article.,Ich spreche mit dem Journalisten.I am talking with the journalist.,Der Journalist stellt viele Fragen.The journalist asks many questions.,Kennst du den Journalisten?Do you know the journalist?,,German Noun (A2)
A1,der Job,Job,"job, work, position, gig","job, work, position, gig🔢 Noun FormsSingular (Einzahl): der JobPlural (Mehrzahl): Jobs",Ich habe einen neuen Job.I have a new job.,Sie sucht einen Job in der Stadt.She is looking for a job in the city.,Er hat einen kleinen Job am Wochenende.He has a small weekend job.,Der Job ist gut bezahlt.The job is well paid.,,German Noun (A1)
A1,die Jeans,Jeans,jeans,jeans🔢 Noun FormsSingular (Einzahl): die JeansPlural (Mehrzahl): Jeans,Ich trage heute Jeans.I am wearing jeans today.,Die Jeans ist blau.The jeans are blue.,Kaufst du neue Jeans?Are you buying new jeans?4. Diese Jeans passt gut.These jeans fit well.,,,German Noun (A1)
A2,die Jause,Jause,"snack, light meal, tea-time snack","snack, light meal, tea-time snack🔢 Noun FormsSingular (Einzahl): die JausePlural (Mehrzahl): Jausen",Wir machen um zehn Uhr eine Jause.We have a snack at ten o'clock.,Möchtest du eine Jause mit Käse und Brot?Do you want a snack with cheese and bread?3. Die Kinder bringen eine Jause in die Schule.The children bring a snack to school.,Nach der Wanderung gab es eine kleine Jause.After the hike there was a small snack.,,,German Noun (A2)
A1,der Januar,Januar,January,January🔢 Noun FormsSingular (Einzahl): der JanuarPlural (Mehrzahl): die Januare,Der Januar ist kalt.January is cold.,Im Januar habe ich Urlaub.I have vacation in January.,Mein Kurs beginnt im Januar.My course starts in January.,Der Winter hat im Januar viel Schnee.Winter has a lot of snow in January.,,German Noun (A1)
A1,das Jahr,Jahr,"year, calendar year, twelve-month period","year, calendar year, twelve-month period🔢 Noun FormsSingular (Einzahl): das JahrPlural (Mehrzahl): Jahre",Das Jahr hat zwölf Monate.The year has twelve months.,Im Jahr 2020 blieb er zu Hause.In the year 2020 he stayed at home.,Sie ist 20 Jahre alt.She is 20 years old.,Nächstes Jahr reisen wir nach Spanien.Next year we will travel to Spain.,,German Noun (A1)
A1,die Jacke,Jacke,"jacket, coat‌ (light), blazer","jacket, coat (light), blazer🔢 Noun FormsSingular (Einzahl): die JackePlural (Mehrzahl): Jacken",Ich ziehe meine Jacke an.I put on my jacket.,Ihre Jacke ist blau.Her jacket is blue.,Hast du eine warme Jacke?Do you have a warm jacket?4. Die Jacken hängen an der Tür.The jackets hang on the door.,,,German Noun (A1)
A2,das Interview,Interview,"interview, press interview","interview, press interview🔢 Noun FormsSingular (Einzahl): das InterviewPlural (Mehrzahl): Interviews",Das Interview ist morgen um zehn.The interview is tomorrow at ten.,Wir lesen ein Interview in der Zeitung.We read an interview in the newspaper.,Sie gibt ein Interview im Radio.She is giving an interview on the radio.,"Nach dem Spiel kommt das Interview mit dem Trainer.After the match, the interview with the coach is coming.",,German Noun (A2)
A1,das Internet,Internet,"Internet, the internet","Internet, the internet🔢 Noun FormsSingular (Einzahl): das InternetPlural (Mehrzahl): —",Ich bin im Internet.I am on the internet.,Das Internet ist langsam.The internet is slow.,Sie sucht Informationen im Internet.She looks for information on the internet.,Wir haben kein Internet zu Hause.We have no internet at home.,,German Noun (A1)
A2,das Interesse,Interesse,"das Interesse (Noun): interest, concern, benefit, the interested‌ (person)","das Interesse (Noun): interest, concern, benefit, the interested (person)🔢 Noun FormsSingular (Einzahl): das InteressePlural (Mehrzahl): die Interessen",Ich habe großes Interesse an Deutsch.I have great interest in German.,Sie zeigt kein Interesse an Sport.She shows no interest in sports.,Wir handeln im Interesse aller.We act in the interest of everyone.,Das Interesse ist hoch.The interest is high.,Das Interessierte kamen früh.The interested arrived early.,German Noun (A2)
A2,der Intensivkurs,Intensivkurs,"intensive course, crash course, accelerated course","intensive course, crash course, accelerated course🔢 Noun FormsSingular (Einzahl): der IntensivkursPlural (Mehrzahl): Intensivkurse",Ich mache einen Intensivkurs in Deutsch.I am taking an intensive course in German.,Der Intensivkurs dauert vier Wochen.The intensive course lasts four weeks.,Im Intensivkurs sprechen wir jeden Tag.In the intensive course we speak every day.,Sie sucht einen Intensivkurs für Anfänger.She is looking for an intensive course for beginners.,,German Noun (A2)
B1,die Intelligenz,Intelligenz,"intelligence, intellect, smartness","intelligence, intellect, smartness🔢 Noun FormsSingular (Einzahl): die IntelligenzPlural (Mehrzahl): Intelligenzen",Seine Intelligenz hilft ihm in der Schule.His intelligence helps him at school.,"Intelligenz ist nicht alles, Fleiß ist auch wichtig.Intelligence is not everything; diligence is also important.",Sie zeigt viel Intelligenz in schwierigen Situationen.She shows a lot of intelligence in difficult situations.,Die Intelligenzen der Tiere sind unterschiedlich.Animals' intelligences differ.,,German Noun (B1)
B2,die Integration,Integration,"integration, inclusion, incorporation, social integration","integration, inclusion, incorporation, social integration🔢 Noun FormsSingular (Einzahl): die IntegrationPlural (Mehrzahl): Integrationen",Integration ist wichtig für die Gesellschaft.Integration is important for society.,Die Stadt fördert die Integration von Migranten.The city promotes the integration of migrants.,Technische Integration spart Zeit und Kosten.Technical integration saves time and costs.,Er arbeitet im Bereich Integration an der Schule.He works in the field of integration at the school.,,German Noun (B2)
A2,das Instrument,Instrument,"instrument, musical instrument, tool‌ (figurative)","instrument, musical instrument, tool (figurative)🔢 Noun FormsSingular (Einzahl): das InstrumentPlural (Mehrzahl): Instrumente",Das Instrument ist neu.The instrument is new.,Sie spielt ein Instrument.She plays an instrument.,Die Gitarre ist ein Instrument.The guitar is an instrument.,Das Instrument hilft uns bei der Messung.The instrument helps us with the measurement.,,German Noun (A2)
B1,das Institut,Institut,"institute, research institute, institute department","institute, research institute, institute department🔢 Noun FormsSingular (Einzahl): das InstitutPlural (Mehrzahl): Institute",Das Institut forscht zu Energie und Klima.The institute researches energy and climate.,Sie arbeitet am Institut für Geschichte.She works at the institute for history.,Viele Institute haben heute eine eigene Bibliothek.Many institutes today have their own library.,Das Institut organisiert eine Tagung.The institute is organizing a conference.,,German Noun (B1)
B1,das Inserat,Inserat,"advertisement, ad, classified ad","advertisement, ad, classified ad🔢 Noun FormsSingular (Einzahl): das InseratPlural (Mehrzahl): Inserate",Ich lese das Inserat in der Zeitung.I read the ad in the newspaper.,Sie schaltet ein Inserat für ihre Wohnung.She places an ad for her apartment.,Das Inserat ist kurz und klar.The ad is short and clear.,Auf das Inserat melden sich viele Leute.Many people respond to the ad.,,German Noun (B1)
A1,die Insel,Insel,"island, islet‌ (fig.)","island, islet (fig.)🔢 Noun FormsSingular (Einzahl): die InselPlural (Mehrzahl): Inseln",Die Insel ist klein.The island is small.,Wir fahren auf die Insel.We are going to the island.,Auf der Insel gibt es einen Strand.There is a beach on the island.,Die Stadt ist eine Insel der Ruhe.The city is an island of calm.,,German Noun (A1)
A2,der Inhalt,Inhalt,"content, contents, substance‌ (of a text/speech), volume‌ (math)","content, contents, substance (of a text/speech), volume (math)🔢 Noun FormsSingular (Einzahl): der InhaltPlural (Mehrzahl): Inhalte",Der Inhalt des Buches ist spannend.The content of the book is exciting.,Bitte prüfen Sie den Inhalt der E-Mail.Please check the content of the email.,Die Flasche hat einen Inhalt von einem Liter.The bottle has a content of one liter.,"Die Packung ist geöffnet, aber der Inhalt ist noch vollständig.The package is open, but the contents are still complete.",,German Noun (A2)
A2,der Ingenieur,Ingenieur,engineer‌ (male),engineer (male)🔢 Noun FormsSingular (Einzahl): der IngenieurPlural (Mehrzahl): Ingenieure,Der Ingenieur arbeitet in einer Fabrik.The engineer works in a factory.,Mein Bruder ist Ingenieur.My brother is an engineer.,Wir suchen einen Ingenieur für das Projekt.We are looking for an engineer for the project.,Der Ingenieur plant die Maschine.The engineer plans the machine.,,German Noun (A2)
A1,die Information,Information,"information, details, data","information, details, data🔢 Noun FormsSingular (Einzahl): die InformationPlural (Mehrzahl): Informationen",Ich brauche eine Information.I need some information.,Haben Sie Informationen zum Kurs?Do you have information about the course?3. Die Informationen sind wichtig.The information is important.,,,,German Noun (A1)
B1,die Infektion,Infektion,"infection, contagion, infecting","infection, contagion, infecting🔢 Noun FormsSingular (Einzahl): die InfektionPlural (Mehrzahl): Infektionen",Die Infektion ist mild.The infection is mild.,Er hat eine Infektion im Hals.He has an infection in his throat.,Wir wollen eine Infektion vermeiden.We want to avoid an infection.,"Nach der Operation kam es zu einer Infektion.After the surgery, an infection occurred.",,German Noun (B1)
B1,die Industrie,Industrie,"industry, industrial sector, manufacturing sector","industry, industrial sector, manufacturing sector🔢 Noun FormsSingular (Einzahl): die IndustriePlural (Mehrzahl): Industrien",Die Industrie ist ein wichtiger Teil der Wirtschaft.Industry is an important part of the economy.,Viele Jobs entstehen in der Industrie.Many jobs are created in industry.,Die Stadt lebt von der Autoindustrie.The city depends on the automobile industry.,"In einigen Ländern wächst die Industrie schnell.In some countries, industry is growing fast.",Nachts ist die Industrieanlage hell beleuchtet.At night the industrial plant is brightly lit.,German Noun (B1)
B1,der Import,Import,"import, importation, bringing in‌ (goods)","import, importation, bringing in (goods)🔢 Noun FormsSingular (Einzahl): der ImportPlural (Mehrzahl): die Importe",Der Import von Obst ist gestiegen.The import of fruit has increased.,Dieses Unternehmen lebt vom Import.This company lives on import.,Die Regierung prüft neue Regeln für den Import.The government is reviewing new rules for import.,Der Import ist hier teurer als der lokale Kauf.Import is more expensive here than buying locally.,,German Noun (B1)
A2,der Imbiss,Imbiss,"snack, light meal, snack bar","snack, light meal, snack bar🔢 Noun FormsSingular (Einzahl): der ImbissPlural (Mehrzahl): die Imbisse",Ich hole mir schnell einen Imbiss.I'll grab a quick snack.,Es gibt einen Imbiss an der Ecke.There is a snack bar on the corner.,Nach der Arbeit essen wir einen kleinen Imbiss.After work we eat a small snack.,Der Imbiss macht um neun zu.The snack bar closes at nine.,,German Noun (A2)
A2,die Idee,Idee,"idea, notion, concept, suggestion","idea, notion, concept, suggestion🔢 Noun FormsSingular (Einzahl): die IdeePlural (Mehrzahl): Ideen",Das ist eine gute Idee.That is a good idea.,Hast du eine Idee?Do you have an idea?3. Ich habe keine Idee für das Projekt.I have no idea for the project.,Seine Idee ist einfach und klar.His idea is simple and clear.,,,German Noun (A2)
A2,die Hütte,Hütte,"hut, cabin, shack, cottage, mountain hut","hut, cabin, shack, cottage, mountain hut🔢 Noun FormsSingular (Einzahl): die HüttePlural (Mehrzahl): Hütten",Wir schlafen heute in der Hütte.We are sleeping in the hut today.,Die Hütte steht am Rand des Waldes.The hut is at the edge of the forest.,Bei Regen bleiben wir in der Hütte.In the rain we stay in the hut.,Die Hütten in den Alpen sind oft voll im Sommer.The huts in the Alps are often full in summer.,,German Noun (A2)
A2,der Hügel,Hügel,"hill, mound, knoll","hill, mound, knoll🔢 Noun FormsSingular (Einzahl): der HügelPlural (Mehrzahl): die Hügel",Der Hügel ist nicht hoch.The hill is not high.,Wir gehen über den Hügel zum Dorf.We go over the hill to the village.,Auf dem Hügel steht ein Baum.There is a tree on the hill.,Viele kleine Hügel sind auf der Wiese.There are many small hills in the meadow.,,German Noun (A2)
A1,Hören,hören,"hören (Verb): to hear, to listen, to obey, to hear‌ (about)  das hören (Noun): hearing, listening","hören (Verb): to hear, to listen, to obey, to hear (about)  das Hören (Noun): hearing, listening🔄 Verb Conjugationsregelmäßig Partizip II: gehörtPresent (Präsens):ich: höredu: hörster/sie/es: hörtwir: hörenihr: hörtsie: hörenPast (Präteritum):ich: hörtedu: hörtester/sie/es: hörtewir: hörtenihr: hörtetsie: hörten",Ich höre Musik.I listen to music.,Hörst du mich?Do you hear me?3. Er hört auf seine Mutter.He obeys his mother.,Ich habe davon gehört.I have heard about it.,Das Hören ist wichtig.Hearing is important.,,German Word (A1)
A2,der Händler,Händler,"dealer, trader, merchant, vendor","dealer, trader, merchant, vendor🔢 Noun FormsSingular (Einzahl): der HändlerPlural (Mehrzahl): Händler",Der Händler verkauft Obst auf dem Markt.The dealer sells fruit at the market.,Ich frage den Händler nach dem Preis.I ask the dealer about the price.,Viele Händler sind heute online.Many dealers are online today.,Der Händler gibt eine Garantie.The dealer gives a warranty.,,German Noun (A2)
A1,die Hälfte,Hälfte,"half, one half","half, one half🔢 Noun FormsSingular (Einzahl): die HälftePlural (Mehrzahl): Hälften",Ich esse nur die Hälfte.I will eat only half.,Die Hälfte des Kuchens ist weg.Half of the cake is gone.,Wir teilen die Pizza in zwei Hälften.We divide the pizza into two halves.,Er zahlt die Hälfte von der Miete.He pays half of the rent.,,German Noun (A1)
A1,das Hähnchen,Hähnchen,"chicken‌ (meat), roast chicken, young chicken","chicken (meat), roast chicken, young chicken🔢 Noun FormsSingular (Einzahl): das HähnchenPlural (Mehrzahl): Hähnchen",Ich esse gern Hähnchen.I like to eat chicken.,Wir bestellen ein halbes Hähnchen.We order half a chicken.,Das Hähnchen ist lecker.The chicken is tasty.,Gibt es Hähnchen mit Reis?Is there chicken with rice?,,German Noun (A1)
A1,Husten,Husten,"Husten (Verb): to cough  der Husten (Noun): cough, the act of coughing","Husten (Verb): to cough  der Husten (Noun): cough, the act of coughing🔢 Noun FormsSingular (Einzahl): der HustenPlural (Mehrzahl): —",Ich habe Husten.I have a cough.,Er hustet die ganze Nacht.He coughs all night.,Das Husten ist heute stärker.The coughing is stronger today.,Der Husten ist weg.The cough is gone.,,German Word (A1)
A1,der Hunger,Hunger,"hunger, feeling of hunger, appetite‌ (colloq.)","hunger, feeling of hunger, appetite (colloq.)🔢 Noun FormsSingular (Einzahl): der HungerPlural (Mehrzahl): —",Ich habe Hunger.I am hungry.,Hast du Hunger?Are you hungry?3. Nach der Arbeit habe ich großen Hunger.After work I am very hungry.,Kinder haben oft schnell wieder Hunger.Children often get hungry again quickly.,,,German Noun (A1)
A1,der Hund,Hund,"dog, male dog, hound‌ (colloquial/figurative)","dog, male dog, hound (colloquial/figurative)🔢 Noun FormsSingular (Einzahl): der HundPlural (Mehrzahl): Hunde",Der Hund ist klein.The dog is small.,Ich habe zwei Hunde.I have two dogs.,Der Hund bellt laut.The dog barks loudly.,Ist das dein Hund?Is that your dog?,,German Noun (A1)
B1,der Humor,Humor,"humor, sense of humor, wit","humor, sense of humor, wit🔢 Noun FormsSingular (Einzahl): der HumorPlural (Mehrzahl): Humore",Er hat viel Humor.He has a lot of humor.,Sie erzählt die Geschichte mit Humor.She tells the story with humor.,Ein bisschen Humor hilft im Alltag.A bit of humor helps in everyday life.,"Ohne Humor ist die Stimmung schnell schlecht.Without humor, the mood gets bad quickly.",,German Noun (B1)
A1,das Hotel,Hotel,"hotel, inn","hotel, inn🔢 Noun FormsSingular (Einzahl): das HotelPlural (Mehrzahl): die Hotels",Das Hotel ist groß.The hotel is big.,Wir buchen ein Hotel in der Stadt.We book a hotel in the city.,Mein Zimmer im Hotel ist ruhig.My room in the hotel is quiet.,Das Hotel hat WLAN.The hotel has Wi‑Fi.,,German Noun (A1)
A1,die Hose,Hose,"pants, trousers","pants, trousers🔢 Noun FormsSingular (Einzahl): die HosePlural (Mehrzahl): Hosen",Ich kaufe eine Hose.I am buying a pair of pants.,Die Hose ist zu klein.The pants are too small.,Wo ist meine Hose?Where are my pants?4. Er trägt heute eine schwarze Hose.He is wearing black trousers today.,,,German Noun (A1)
A2,die Homepage,Homepage,"homepage, home page, main page","homepage, home page, main page🔢 Noun FormsSingular (Einzahl): die HomepagePlural (Mehrzahl): Homepages",Ich öffne die Homepage der Schule.I open the school's homepage.,Die Homepage ist heute sehr langsam.The homepage is very slow today.,Unsere Firma hat eine neue Homepage.Our company has a new homepage.,Auf der Homepage findest du die Adresse.You can find the address on the homepage.,,German Noun (A2)
A2,die Hoffnung,Hoffnung,"hope, expectation, aspiration","hope, expectation, aspiration🔢 Noun FormsSingular (Einzahl): die HoffnungPlural (Mehrzahl): Hoffnungen",Ich habe Hoffnung.I have hope.,Sie gibt ihm neue Hoffnung.She gives him new hope.,Wir leben in Hoffnung auf ein gutes Ergebnis.We live in hope of a good result.,Die Hoffnung stirbt zuletzt.Hope dies last.,,German Noun (A2)
A2,der Hof,Hof,"yard, farmstead, court‌ (royal)","yard, farmstead, court (royal)🔢 Noun FormsSingular (Einzahl): der HofPlural (Mehrzahl): Höfe",Die Kinder spielen im Hof.The children are playing in the yard.,Wir wohnen auf einem kleinen Hof.We live on a small farmstead.,Am Hof des Königs gab es viele Feste.At the king’s court there were many festivities.,Der Hof ist sauber und ruhig.The courtyard is clean and quiet.,,German Noun (A2)
A2,die Hochzeit,Hochzeit,"wedding, nuptials","wedding, nuptials🔢 Noun FormsSingular (Einzahl): die HochzeitPlural (Mehrzahl): Hochzeiten",Die Hochzeit ist am Samstag.The wedding is on Saturday.,Wir planen unsere Hochzeit im Juni.We are planning our wedding in June.,Zu ihrer Hochzeit kamen viele Gäste.Many guests came to their wedding.,Nach der Hochzeit gab es eine große Feier.After the wedding there was a big party.,,German Noun (A2)
A1,das Hobby,Hobby,"hobby, pastime, leisure activity","hobby, pastime, leisure activity🔢 Noun FormsSingular (Einzahl): das HobbyPlural (Mehrzahl): Hobbys",Mein Hobby ist Musik.My hobby is music.,Ich habe zwei Hobbys: Lesen und Schwimmen.I have two hobbies: reading and swimming.,Was ist dein Hobby?What is your hobby?4. Sie sucht ein neues Hobby.She is looking for a new hobby.,,,German Noun (A1)
